w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
0.8,1.6,2.4000000000000004,6.0,0.25,35,11.0,0.8,4.3355647028064936e-07,5.00955112283652e-05,0.01501802210369041,1.2
0.8,1.6,2.4000000000000004,7.0,0.25,35,12.0,0.85,7.647035362712273e-07,0.00018468252572989563,0.003805928425700822,1.5
0.8,1.6,2.4000000000000004,8.0,0.25,35,13.0,0.8,8.461958378447321e-08,5.054815794891532e-05,0.005835831543960612,1.6
0.8,1.6,2.4000000000000004,9.0,0.25,35,14.0,0.9,1.24673520507379e-07,1.6208981575394077e-05,0.0007535769422133409,1.9
0.8,1.6,2.4000000000000004,10.0,0.25,35,15.0,0.9,1.7604175629459817e-06,0.00018155697509403268,0.0005943844304505674,2.0
0.8,2.4,3.2,3.0,0.25,26,9.4,0.5,6.506771951686474e-06,0.0006693951363985207,0.06829016382784192,0.7
0.8,2.4,3.2,4.0,0.25,26,10.4,0.65,1.0887800954151317e-06,0.00022234198209614142,0.018642439797585952,0.8
0.8,2.4,3.2,5.0,0.25,26,11.4,0.7,3.165129187632232e-07,0.00012091059176255747,0.01822694893407406,1.0
0.8,2.4,3.2,6.0,0.25,26,12.4,0.8,4.2705508196405617e-07,5.105183050135853e-05,0.014703819113775607,1.2
0.8,2.4,3.2,7.0,0.25,26,13.4,0.8,4.4420008393775134e-07,9.063203335490932e-05,0.003978992389189084,1.2
0.8,2.4,3.2,8.0,0.25,26,14.4,0.85,1.1550385718983591e-06,6.730356792361558e-05,0.004304213911213495,1.4
0.8,2.4,3.2,9.0,0.25,26,15.4,0.85,7.327800937151352e-07,4.0166235764860225e-05,0.0016832271513169683,1.5
0.8,2.4,3.2,10.0,0.25,26,16.4,0.9,1.0607851851363037e-06,8.414871524586864e-05,0.00020878028183268782,1.6
1.0,0.4,1.4,3.0,0.2,59,8.0,0.7,1.4996199670935795e-07,3.0272407329778872e-05,0.32114308042558903,1.4
1.0,0.4,1.4,4.0,0.2,59,9.0,0.75,1.498699716551144e-07,1.358043424504185e-05,0.05182961997168323,1.9
1.0,0.4,1.4,5.0,0.2,59,10.0,0.8,1.360026417041027e-07,1.821060437667832e-05,0.00894431427563025,2.4
1.0,0.4,1.4,6.0,0.2,59,11.0,0.8,5.245636915951479e-07,2.704129539099487e-05,0.008466115334120339,2.8
1.0,0.4,1.4,7.0,0.2,59,12.0,0.85,5.312039247362677e-07,3.914299919438591e-05,0.008700458834069114,3.3
1.0,0.4,1.4,8.0,0.2,59,13.0,0.85,5.619508139931284e-07,5.1370038980813604e-05,0.0018160479763484894,4.0
1.0,0.4,1.4,9.0,0.2,59,14.0,0.9,6.227671243141941e-07,6.914618619402457e-05,0.0003990338994108722,4.4
1.0,0.4,1.4,10.0,0.2,59,15.0,0.9,7.29440464031228e-07,0.00010414873912723,0.0003132747421716875,4.9
